Name of Initiative,Organization Name,Location 1,State,Category,Unique ID,State Based
Maryland Total Cost of Care Model,GBMC at Owings Mills,"10085 Red Run Blvd Ste 105 Owings Mills, MD (39.40125, -76.7825)",MD,State & Community-Based Models,149,
Maryland Total Cost of Care Model,GBMC at Hunt Manor,"3346 Paper Mill Rd Phoenix, MD (39.518893, -76.56167)",MD,State & Community-Based Models,150,
Maryland Total Cost of Care Model,GBMC at Joppa Road,"8600 La Salle Rd Ste 100 Towson, MD (39.395958, -76.576118)",MD,State & Community-Based Models,151,
Maryland Total Cost of Care Model,GBMC Family Care Associates,"6535 N Charles Street Ste 100 Baltimore, MD (39.388562, -76.625054)",MD,State & Community-Based Models,152,
Maryland Total Cost of Care Model,GBMC at Hunt Valley,"9 Schilling Rd Ste 102 Hunt Valley, MD (39.492339, -76.654504)",MD,State & Community-Based Models,153,
Maryland Total Cost of Care Model,GBMC Medicine For Adults,"6701 N Charles St Ste 5105 Baltimore, MD (39.393497, -76.628092)",MD,State & Community-Based Models,154,
Maryland Total Cost of Care Model,GBMC Internal Medicine,"6565 N Charles St Ste 201 Baltimore, MD (39.388443, -76.624855)",MD,State & Community-Based Models,155,
Maryland Total Cost of Care Model,"Satish Angra,  M.D., PC","344 University Blvd W Ste 113 Silver Spring, MD (39.024629, -77.019032)",MD,State & Community-Based Models,156,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Hagerstown,"12916 Conamar Dr Ste 204 Hagerstown, MD (39.668518, -77.69831)",MD,State & Community-Based Models,157,
Maryland Total Cost of Care Model,"Manbir Takhar, PC","12321 Middlebrook Rd Ste 102 Germantown, MD (39.175544, -77.255323)",MD,State & Community-Based Models,158,
Maryland Total Cost of Care Model,"Louis Silverstein, M.D.","805 S Union Ave Havre de Grace, MD (39.540124, -76.091449)",MD,State & Community-Based Models,159,
Maryland Total Cost of Care Model,"Ravi Passi, M.D., PC","15245 Shady Grove Road #130 Rockville, MD (39.107871, -77.189124)",MD,State & Community-Based Models,160,
Maryland Total Cost of Care Model,Chapel View Family Care,"9524 Belair Rd Nottingham, MD (39.410024, -76.467084)",MD,State & Community-Based Models,161,
Maryland Total Cost of Care Model,Charlestown Medical Center,"711 Maiden Choice Ln Catonsville, MD (39.267611, -76.704269)",MD,State & Community-Based Models,162,
Maryland Total Cost of Care Model,Oak Crest Medical Center,"8800 Walther Blvd Baltimore, MD (39.391674, -76.505732)",MD,State & Community-Based Models,163,
Maryland Total Cost of Care Model,"Personal Physician Care, LLC","6334 Cedar Ln Ste 103 Columbia, MD (39.197594, -76.884267)",MD,State & Community-Based Models,164,
Maryland Total Cost of Care Model,"Doctors Saba, Koltz and Walters","7505 Osler Dr Ste 406 Towson, MD (39.386546, -76.61267)",MD,State & Community-Based Models,165,
Maryland Total Cost of Care Model,"Kenneth M. Greene, M.D. & Associates","6701 N Charles St Ste 4104 Baltimore, MD (39.393497, -76.628092)",MD,State & Community-Based Models,166,
Maryland Total Cost of Care Model,"Dr. Jeffery D. Graber & Associates, PA","341 N Calvert St Ste 300 Baltimore, MD (39.29379, -76.612617)",MD,State & Community-Based Models,167,
Maryland Total Cost of Care Model,"Nakul Goyal, M.D., PA","3801 International Dr Ste 205 Silver Spring, MD (39.103666, -77.075416)",MD,State & Community-Based Models,168,
Maryland Total Cost of Care Model,PrimeCare Medicine,"9801 Georgia Ave Ste 224 Silver Spring, MD (39.017085, -77.043129)",MD,State & Community-Based Models,169,
Maryland Total Cost of Care Model,Annapolis Internal Medicine,"116 Defense Hwy Ste 400 Annapolis, MD (38.985817, -76.55054)",MD,State & Community-Based Models,170,
